D6h,E,2C6,2C3,C2,3C'2,3C''2,i,2S3,2S6,σh,3σd,3σv,"Linear,
rotations",Quadratic
A1g,1,1,1,1,1,1,1,1,1,1,1,1,,"x2+y2, z2"
A2g,1,1,1,1,-1,-1,1,1,1,1,-1,-1,Rz,
B1g,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,,
B2g,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,,
E1g,2,1,-1,-2,0,0,2,1,-1,-2,0,0,"(Rx, Ry)","(xz, yz)"
E2g,2,-1,-1,2,0,0,2,-1,-1,2,0,0,,"(x2-y2, xy)"
A1u,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,,
A2u,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,z,
B1u,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,,
B2u,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,,
E1u,2,1,-1,-2,0,0,-2,-1,1,2,0,0,"(x, y)",
E2u,2,-1,-1,2,0,0,-2,1,1,-2,0,0,,
