D_h,E,2C∞,...,∞σv,i,2S∞,...,∞C'2,"linear functions,
rotations",quadratic
A1g=Σ+g,1,1,...,1,1,1,...,1,,"x2+y2, z2"
A2g=Σ-g,1,1,...,-1,1,1,...,-1,Rz,
E1g=Πg,2,2cos(φ),...,0,2,-2cos(φ),...,0,"(Rx, Ry)","(xz, yz)"
E2g=Δg,2,2cos(2φ),...,0,2,2cos(2φ),...,0,,"(x2-y2, xy)"
E3g=Φg,2,2cos(3φ),...,0,2,-2cos(3φ),...,0,,
...,...,...,...,...,...,...,...,...,,
A1u=Σ+u,1,1,...,1,-1,-1,...,-1,z,
A2u=Σ-u,1,1,...,-1,-1,-1,...,1,,
E1u=Πu,2,2cos(φ),...,0,-2,2cos(φ),...,0,"(x, y)",
E2u=Δu,2,2cos(2φ),...,0,-2,-2cos(2φ),...,0,,
E3u=Φu,2,2cos(3φ),...,0,-2,2cos(3φ),...,0,,
...,...,...,...,...,...,...,...,...,,
